"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
17,What is the primary motivation behind Electron's sandboxing model for renderer processes?,To enhance security by limiting the renderer's access to system resources.,To improve application performance by offloading tasks to a sandbox.,To allow the renderer to run untrusted code without any restrictions.,To simplify the development of web components.,20,1,,,,,,,,,,,,,,,,,,
18,Which module provides methods to control the entire lifecycle of an Electron application such as quitting or relaunching?,app module.,BrowserWindow module.,dialog module.,ipcMain module.,20,1,,,,,,,,,,,,,,,,,,
19,When is it generally recommended to disable Node.js integration in the renderer process?,When loading untrusted remote content or when not explicitly needed.,Always regardless of content trust.,Only when developing for macOS.,Never as it breaks core Electron functionality.,20,1,,,,,,,,,,,,,,,,,,
20,What does BrowserWindow.setAppDetails() allow you to customize?,Application-specific details like the title bar and icon.,Details of the app module.,The content of the web page loaded.,Security settings for the window.,20,1,,,,,,,,,,,,,,,,,,
21,Why is Context Isolation considered a security best practice?,It prevents the loaded web content from directly manipulating the window object or global Node.js APIs exposed by a preload script.,It isolates all BrowserWindow instances from each other.,It ensures that all renderer processes use the same Node.js version.,It guarantees that all external network requests are encrypted.,20,1,,,,,,,,,,,,,,,,,,
22,What distinguishes Electron's event-driven architecture?,Both the main and renderer processes communicate primarily through events often via IPC.,It uses a polling mechanism to check for state changes.,Only the main process uses events the renderer is purely reactive.,Events are exclusively used for UI interactions.,20,1,,,,,,,,,,,,,,,,,,
23,Which module system is natively supported in Electron's main process?,CommonJS and ES Modules.,Only CommonJS.,Only ES Modules.,AMD.,20,1,,,,,,,,,,,,,,,,,,
24,If an Electron application needs to gracefully terminate which app method should be used to initiate the shutdown sequence?,app.quit(),app.terminate(),app.exit(),app.destroy(),20,1,,,,,,,,,,,,,,,,,,
25,Which of the following is NOT a default behavior of a new BrowserWindow instance?,It has Node.js integration enabled by default.,It creates a new renderer process.,It can load local HTML files.,It can be configured with various options (e.g. width height).,20,1,,,,,,,,,,,,,,,,,,
26,How can you set a custom icon for your Electron application's BrowserWindow?,By passing an icon option to the BrowserWindow constructor.,By modifying the package.json file.,By using a CSS property in the renderer.,Electron automatically uses the favicon from the loaded HTML.,20,1,,,,,,,,,,,,,,,,,,
27,What is the purpose of app.setAppLogsPath()?,To specify a custom directory for application log files.,To set the path for the application's executable.,To define the default download location for files.,To configure the path to the Electron framework itself.,20,1,,,,,,,,,,,,,,,,,,
28,Which core architectural aspect makes Electron applications cross-platform?,Embedding Chromium for UI and Node.js for backend logic which are cross-platform by nature.,Using a custom Electron language that compiles to native code for each OS.,Relying on specific OS-level APIs that are uniform across platforms.,Utilizing web standards that are interpreted differently by each OS.,20,1,,,,,,,,,,,,,,,,,,
29,What security consideration applies to loading external URLs in an Electron BrowserWindow without proper safeguards?,It can expose the application to web vulnerabilities like XSS if nodeIntegration is enabled.,It automatically isolates the content making it completely secure.,External URLs are always blocked by default unless explicitly whitelisted.,It is only a concern for local file access not remote content.,20,1,,,,,,,,,,,,,,,,,,
30,How does Electron handle its main process being unresponsive?,It usually does not affect the renderer processes directly; the main process might crash or become unresponsive independently.,All renderer processes will immediately crash as well.,The application automatically restarts the main process.,The user is prompted to close the entire application.,20,1,,,,,,,,,,,,,,,,,,
31,What command is typically used to start an Electron application during development?,electron . or npm start (if configured in package.json).,node index.js,web-pack-dev-server,npm build,20,1,,,,,,,,,,,,,,,,,,
32,Which BrowserWindow option allows developers to create a frameless window (without a standard OS frame)?,frame: false,borderless: true,noFrame: true,chrome: false,20,1,,,,,,,,,,,,,,,,,,
33,What is the relationship between Electron and Chromium?,Electron embeds Chromium to display web content as its GUI.,Electron is a separate project that competes with Chromium.,Chromium is a tool used to debug Electron applications.,Electron is a library for Chromium not an embedder.,20,1,,,,,,,,,,,,,,,,,,
34,Which global object is available in both the main and renderer processes for inter-process communication?,ipcRenderer (in renderer) and ipcMain (in main).,dialog,app,BrowserWindow,20,1,,,,,,,,,,,,,,,,,,
35,What is the primary function of process.type in Electron?,To identify whether the current script is running in the 'main' or 'renderer' process.,To determine the operating system Electron is running on.,To check the current Node.js version.,To identify the CPU architecture.,20,1,,,,,,,,,,,,,,,,,,
36,Which package.json property can be used to pass additional command-line arguments to the Electron executable when running the app?,electron-flags or custom scripts.,cli-args,app-options,start-args,20,1,,,,,,,,,,,,,,,,,,
37,How do you create a new browser window in the main process?,By instantiating a new BrowserWindow object.,By calling app.createWindow().,By using ipcRenderer.createWindow().,By writing HTML code for a new window.,20,1,,,,,,,,,,,,,,,,,,
38,Which BrowserWindow option sets the initial width of the window?,width,initialWidth,windowWidth,client-width,20,1,,,,,,,,,,,,,,,,,,
39,Which method of the app module is used to quit the application?,app.quit(),app.exit(),app.close(),app.terminate(),20,1,,,,,,,,,,,,,,,,,,
40,How can you set a custom application menu for your Electron app?,By using Menu.setApplicationMenu(Menu.buildFromTemplate(template)).,By defining a _menu_ tag in the HTML.,By setting the app.menu property.,By calling BrowserWindow.setMenu().,20,1,,,,,,,,,,,,,,,,,,
41,Which dialog module method is used to open a file selection dialog?,dialog.showOpenDialog(),dialog.openFile(),dialog.selectFile(),dialog.showFileDialog(),20,1,,,,,,,,,,,,,,,,,,
42,What is the purpose of the Tray module?,To add icons and context menus to the system's notification area.,To manage system-level notifications.,To create custom splash screens.,To handle application updates.,20,1,,,,,,,,,,,,,,,,,,
43,How can the main process send an asynchronous message to a renderer process?,Using webContents.send().,Using ipcMain.sendToRenderer().,Using BrowserWindow.sendMessage().,Using app.postMessage().,20,1,,,,,,,,,,,,,,,,,,
44,Which module allows an Electron app to register global keyboard shortcuts that work even when the app is in the background?,globalShortcut module.,keyboard module.,app.shortcuts module.,accelerator module.,20,1,,,,,,,,,,,,,,,,,,
45,How can you display a native OS notification from the main process?,By using the Notification module.,By calling alert() in the renderer process.,By sending a message to webContents.showNotification().,By using dialog.showMessageBox().,20,1,,,,,,,,,,,,,,,,,,
46,Which method is used to open the developer tools for a specific BrowserWindow instance from the main process?,win.webContents.openDevTools(),win.openDevTools(),app.openDevTools(win),webContents.openDevTools(win),20,1,,,,,,,,,,,,,,,,,,
47,What is the purpose of app.getPath('userData')?,To get the path to the user's application data directory.,To get the path to the application's executable.,To get the path to the user's documents folder.,To get the path where application logs are stored.,20,1,,,,,,,,,,,,,,,,,,
48,How do you define a menu item that opens an external link in the user's default browser?,By setting the role to 'openUrl' and url property (or using a custom click handler).,By using shell.openExternal(url) in a click handler.,By setting the type to 'link' and href property.,Electron menus cannot open external links.,20,1,,,,,,,,,,,,,,,,,,
49,When creating a new BrowserWindow which option makes it a child window of another BrowserWindow?,parent,childOf,master,owner,20,1,,,,,,,,,,,,,,,,,,
50,Which dialog module method displays a modal message box with custom buttons?,dialog.showMessageBox(),dialog.alert(),dialog.confirm(),dialog.prompt(),20,1,,,,,,,,,,,,,,,,,,
51,How do you attach a context menu to a Tray icon?,By calling tray.setContextMenu(Menu.buildFromTemplate(template)).,By adding a contextMenu option to the Tray constructor.,By using app.setTrayContextMenu().,Context menus are not supported for Tray icons.,20,1,,,,,,,,,,,,,,,,,,
52,Which app module method can be used to restart the application with an optional path to the new executable?,app.relaunch(),app.restart(),app.reboot(),app.reload(),20,1,,,,,,,,,,,,,,,,,,
53,What is webContents primarily used for from the main process?,To control and interact with the content of a BrowserWindow (e.g. sending messages reloading).,To manage application-wide settings.,To create new BrowserWindow instances.,To handle file system operations.,20,1,,,,,,,,,,,,,,,,,,
54,Which power management feature can be monitored using the powerMonitor module?,Changes in the system's power state (e.g. suspend resume).,The application's CPU and memory usage.,Network connectivity status.,Battery charging cycles.,20,1,,,,,,,,,,,,,,,,,,
55,How can you prevent a BrowserWindow from being resized by the user?,By setting the resizable option to false in the constructor.,By using CSS resize: none; in the renderer.,By calling win.disableResizing().,By setting minWidth and maxWidth to the same value.,20,1,,,,,,,,,,,,,,,,,,
56,Which dialog method is used to show an error message box to the user?,dialog.showErrorBox(),dialog.showError(),dialog.errorAlert(),dialog.displayError(),20,1,,,,,,,,,,,,,,,,,,
57,What does Menu.buildFromTemplate(template) return?,A Menu object that can be set as an application or context menu.,An HTML string representing the menu.,A JavaScript object representing the menu structure.,A list of menu item IDs.,20,1,,,,,,,,,,,,,,,,,,
58,If a BrowserWindow is closed by the user what event is emitted on the window object before it is actually closed?,'close','closed','destroy','quit',20,1,,,,,,,,,,,,,,,,,,
59,Which method of the app module is used to get the path to the current executable?,app.getPath('exe'),app.getExecutablePath(),app.getAppPath(),app.getBinPath(),20,1,,,,,,,,,,,,,,,,,,
60,To change the title of a BrowserWindow dynamically from the main process which method should be used?,win.setTitle(newTitle),win.webContents.setTitle(newTitle),win.title = newTitle,app.setWindowTitle(win newTitle),20,1,,,,,,,,,,,,,,,,,,
61,What is a typical use case for BrowserWindow.getParentWindow()?,To establish a relationship between a modal dialog and its originating window.,To find the main application window from any renderer process.,To get the window that created the current BrowserWindow instance.,To navigate the DOM tree of parent windows.,20,1,,,,,,,,,,,,,,,,,,
62,Which property of BrowserWindow allows you to control whether the window should be shown in the macOS Dock?,skipTaskbar (or skipPager on Linux setSkipTaskbar(true)).,hideFromDock,showInDock,dockBehavior,20,1,,,,,,,,,,,,,,,,,,
63,How do you create a system tray icon that responds to user clicks?,Instantiate new Tray(iconPath) and attach event listeners like 'click'.,Use app.setTrayIcon(iconPath).,Implement a custom HTML element for the tray.,Electron does not support interactive tray icons.,20,1,,,,,,,,,,,,,,,,,,
64,Which app module event is emitted when the application is about to quit?,'will-quit','before-quit','quitting','shutdown',20,1,,,,,,,,,,,,,,,,,,
65,If you want to prevent a BrowserWindow from closing when the user clicks the close button what event can you listen for and prevent default?,The 'close' event on the BrowserWindow instance.,The 'beforeunload' event in the renderer.,The 'window-all-closed' event on app.,The 'destroy' event on the BrowserWindow.,20,1,,,,,,,,,,,,,,,,,,
66,Which property of a BrowserWindow allows you to make it full screen?,fullscreen: true (or setFullScreen(true)).,maximized: true,stretch: true,display: 'full',20,1,,,,,,,,,,,,,,,,,,
67,What does powerMonitor.on('suspend' ...) allow you to do?,Execute code before the system enters a suspended state.,Monitor the battery level.,Prevent the system from suspending.,Detect when an application crashes.,20,1,,,,,,,,,,,,,,,,,,
68,How can you dynamically add or remove menu items from an existing application menu?,By modifying the Menu object obtained from Menu.getApplicationMenu() and calling setApplicationMenu() again.,Menus are static and cannot be changed after creation.,By directly manipulating the DOM of the menu in the renderer.,Electron automatically updates menus based on application state.,20,1,,,,,,,,,,,,,,,,,,
69,What is the significance of the BrowserWindow webPreferences option?,It controls various settings for the renderer process such as nodeIntegration and contextIsolation.,It defines the styling and appearance of the window frame.,It specifies the network proxy settings for the application.,It determines the operating system compatibility of the window.,20,1,,,,,,,,,,,,,,,,,,
70,Which app module method ensures only a single instance of your application is running?,app.requestSingleInstanceLock(),app.ensureSingleton(),app.lockInstance(),app.allowSingleInstance(),20,1,,,,,,,,,,,,,,,,,,
71,What are BrowserWindow minWidth and minHeight options used for?,To set the minimum dimensions below which the window cannot be resized.,To set the initial dimensions of the window.,To define the size of the window when it's minimized.,To prevent the window from being moved too close to screen edges.,20,1,,,,,,,,,,,,,,,,,,
72,How do you programmatically close a specific BrowserWindow instance from the main process?,By calling win.close().,By calling win.destroy().,By calling app.closeWindow(win).,By sending an IPC message to the renderer to close itself.,20,1,,,,,,,,,,,,,,,,,,
73,How does a renderer process typically access Node.js APIs in a secure Electron application (with context isolation enabled)?,Through an API exposed by a preload script using contextBridge.,Directly by calling require() anywhere in the renderer.,By sending a synchronous IPC message to the main process.,It cannot access Node.js APIs at all.,20,1,,,,,,,,,,,,,,,,,,
74,What is the primary language used for developing the UI and frontend logic in an Electron renderer process?,JavaScript HTML and CSS.,Python.,Java.,C#.,20,1,,,,,,,,,,,,,,,,,,
75,What is the main purpose of a preload script?,To inject custom scripts into the renderer's global scope before web content loads.,To load all external libraries before the application starts.,To handle all the main process logic.,To define the application's build process.,20,1,,,,,,,,,,,,,,,,,,
76,How does a renderer process send an asynchronous message to the main process?,Using ipcRenderer.send().,Using ipcMain.sendToMain().,Using app.sendMessageToMain().,Using window.postMessageToMain().,20,1,,,,,,,,,,,,,,,,,,
77,Which ipcRenderer method is used to send a message to the main process and await a response?,ipcRenderer.invoke(),ipcRenderer.sendSync(),ipcRenderer.request(),ipcRenderer.call(),20,1,,,,,,,,,,,,,,,,,,
78,What is a common way to persist client-side data in an Electron renderer process?,localStorage sessionStorage or IndexedDB.,Directly writing to the file system using Node.js fs module (without contextBridge).,Using a server-side database.,By sending data to the main process for every change.,20,1,,,,,,,,,,,,,,,,,,
79,Which web API allows an Electron app to access the user's camera or microphone?,navigator.mediaDevices.getUserMedia(),electron.camera.access(),app.getMediaDevices(),BrowserWindow.getMedia(),20,1,,,,,,,,,,,,,,,,,,
80,If contextIsolation is enabled how can a renderer access global variables or functions defined by Node.js in the main process?,Through APIs exposed by the preload script via contextBridge.,Directly as contextIsolation only applies to require().,It can't; contextIsolation completely blocks all access.,By calling a synchronous IPC method on ipcRenderer.,20,1,,,,,,,,,,,,,,,,,,
81,How can a renderer process listen for messages sent from the main process?,Using ipcRenderer.on().,Using ipcMain.receive(),Using app.onRendererMessage(),Using window.addEventListener('message') without IPC.,20,1,,,,,,,,,,,,,,,,,,
82,What is a key difference in how Node.js APIs are typically accessed in an Electron renderer compared to a standard web browser?,Electron provides access to Node.js APIs while standard browsers do not.,Node.js APIs are more limited in Electron's renderer than in a browser.,Node.js APIs are always globally available without any setup in Electron.,Electron requires special browser plugins for Node.js access.,20,1,,,,,,,,,,,,,,,,,,
83,Why might you choose a frontend framework like React Vue or Angular for your Electron renderer process?,To efficiently manage complex UI states and component-based development.,To gain direct access to Node.js APIs.,To reduce the overall application bundle size.,To enable server-side rendering for desktop apps.,20,1,,,,,,,,,,,,,,,,,,
84,What is the main security implication if nodeIntegration is enabled in a renderer process that loads untrusted external content?,Malicious scripts in the web content could potentially access system resources.,It would only affect the performance of the renderer.,The application would automatically be blocked by the operating system.,It would prevent the renderer from displaying images.,20,1,,,,,,,,,,,,,,,,,,
85,How do you enable drag-and-drop functionality for files from the OS into an Electron application's renderer?,By handling dragover and drop events on DOM elements and using event.dataTransfer.files.,Electron automatically handles all drag-and-drop operations.,By calling BrowserWindow.enableDragAndDrop().,By using the electron.dragAndDrop module.,20,1,,,,,,,,,,,,,,,,,,
86,What does window.open() do in an Electron renderer process by default?,It opens a new BrowserWindow instance.,It opens a new tab in the current browser window.,It navigates the current BrowserWindow to a new URL.,It only opens external URLs in the default system browser.,20,1,,,,,,,,,,,,,,,,,,
87,Which HTML element was historically used in Electron to embed other web content within a BrowserWindow (now largely deprecated)?,_webview_,_iframe_ (only for regular web content),_embed_,_frame_,20,1,,,,,,,,,,,,,,,,,,
88,When receiving an IPC message from the main process what object typically contains the message arguments in the renderer?,The second argument of the ipcRenderer.on callback.,The event object's detail property.,A global variable named ipcMessageArgs.,It's directly accessible as message.args.,20,1,,,,,,,,,,,,,,,,,,
89,What is contextBridge.exposeInMainWorld() used for?,To safely expose Node.js APIs or custom functions from the preload script to the renderer's global scope.,To make main process functions available directly to the web content.,To bridge CSS styles between multiple renderer processes.,To connect two separate web workers.,20,1,,,,,,,,,,,,,,,,,,
90,What is a primary consideration when structuring a preload script for security?,Exposing only the minimal necessary APIs to the renderer and carefully validating inputs.,Exposing all Node.js APIs to maximize functionality.,Making sure the preload script is as small as possible.,Ensuring the preload script runs before any HTML loads.,20,1,,,,,,,,,,,,,,,,,,
91,If a renderer needs to perform a synchronous operation that requires main process access which ipcRenderer method is generally discouraged and why?,ipcRenderer.sendSync() because it blocks the renderer process.,ipcRenderer.invoke() because it's too complex.,ipcRenderer.send() because it's asynchronous.,contextBridge.exposeInMainWorld() because it creates security risks.,20,1,,,,,,,,,,,,,,,,,,
92,What is the role of document.getElementById('my-element') in a renderer process?,To access an HTML element by its ID for manipulation.,To fetch data from a server.,To create a new window.,To send a message to the main process.,20,1,,,,,,,,,,,,,,,,,,
93,What might happen if nodeIntegration is enabled in a renderer process loading an external untrusted website and that website executes arbitrary JavaScript?,The arbitrary JavaScript could potentially access local file system execute processes or perform other privileged Node.js operations.,The website would only be able to access its own localStorage.,The Electron application would immediately crash.,The website's JavaScript would be blocked by default.,20,1,,,,,,,,,,,,,,,,,,
94,How do you share data between different renderer processes (different BrowserWindow instances)?,Through the main process using IPC or by using shared storage mechanisms like localStorage (if paths align).,Directly between renderer processes using window.postMessage().,By using a global shared object in the renderer.,It's not possible to share data between renderer processes.,20,1,,,,,,,,,,,,,,,,,,
95,Which preload script option is used to specify the path to the preload script file?,webPreferences.preload in the BrowserWindow constructor.,webPreferences.script,preloadScript,main.preload,20,1,,,,,,,,,,,,,,,,,,
96,When developing a UI with a framework like React in Electron where does the React application typically render?,Within the HTML document loaded by the renderer process.,Directly on the main process.,In a separate Node.js process.,As a native UI component outside the Chromium window.,20,1,,,,,,,,,,,,,,,,,,
97,What is the purpose of webPreferences.sandbox: true?,To enable Chromium's sandboxing for the renderer process for enhanced security.,To isolate CSS styles between different components.,To create a separate Node.js environment for each renderer.,To run the renderer process in a virtual machine.,20,1,,,,,,,,,,,,,,,,,,
98,What is the impact of disabling webSecurity in webPreferences?,It allows arbitrary CORS requests and local file access from the renderer significantly reducing security.,It improves the performance of web content loading.,It disables all network requests from the renderer.,It enables Node.js integration by default.,20,1,,,,,,,,,,,,,,,,,,
99,How can you inject a global JavaScript variable or function into the renderer process from the main process *without* using a preload script (and without context isolation)?,By executing win.webContents.executeJavaScript() or win.webContents.send() and then setting a global from the renderer. (Less secure and generally discouraged).,It's not possible without a preload script.,By directly modifying the window object from the main process.,Electron automatically syncs main process globals to the renderer.,20,1,,,,,,,,,,,,,,,,,,
100,When integrating a UI framework like Vue.js where would you typically initialize the Vue app?,In the renderer process's main JavaScript file after the DOM is ready.,In the main process before any BrowserWindow is created.,Within the preload script.,Vue.js cannot be used in Electron.,20,1,,,,,,,,,,,,,,,,,,
101,If you need to access system information (e.g. OS version) from the renderer how should it be done securely?,Expose a method via contextBridge in the preload script that calls Node.js os module functions.,Directly use require('os') in the renderer if nodeIntegration is enabled.,Send an IPC message to the main process and await the response.,It's not possible to get system info from the renderer.,20,1,,,,,,,,,,,,,,,,,,
102,What are some challenges when upgrading Electron while using a frontend framework that has specific Chromium version dependencies?,Compatibility issues with the new Chromium version that might break parts of the framework or its libraries.,Electron upgrades automatically handle all framework dependencies.,Frontend frameworks are completely independent of Chromium versions.,Only Node.js compatibility is a concern not Chromium.,20,1,,,,,,,,,,,,,,,,,,
103,Which event listener would you typically use in the renderer to detect when the entire HTML document has been loaded and parsed?,DOMContentLoaded,load (for all resources including images),ready,documentReady,20,1,,,,,,,,,,,,,,,,,,
104,How can a preload script expose a Node.js fs module method (e.g. fs.readFile) securely to the renderer?,By wrapping fs.readFile in a function in the preload script and exposing that function via contextBridge.,Directly expose the fs module via contextBridge.,Simply make global.fs = require('fs') in the preload.,It's not possible to expose fs securely.,20,1,,,,,,,,,,,,,,,,,,
105,What is a common use case for a preload script to interact with the DOM?,To inject polyfills or modify global objects before the main web content loads.,To create a new BrowserWindow instance.,To handle all application-level IPC communication.,To package the application for distribution.,20,1,,,,,,,,,,,,,,,,,,
106,Why is it important to carefully manage dependencies (like npm packages) in the renderer process?,Unnecessary or large dependencies can increase the application's bundle size and load time.,Renderer dependencies directly affect the main process's memory usage.,npm packages cannot be used in the renderer process.,They can cause conflicts with native OS libraries.,20,1,,,,,,,,,,,,,,,,,,
107,Which webPreferences option when false allows all window.open() calls to be handled by the main process's app.on('web-contents-created') event?,nativeWindowOpen,allowWindowOpen,openExternal,newWindow,20,1,,,,,,,,,,,,,,,,,,
108,What does the webContents.executeJavaScript(code) method do from the main process?,Executes JavaScript code directly within the specified renderer process.,Compiles JavaScript code into native machine code.,Runs JavaScript code in the main process.,Saves JavaScript code to a file.,20,1,,,,,,,,,,,,,,,,,,
109,When handling dragstart events in the renderer for custom drag-and-drop what property of event.dataTransfer is commonly set to indicate the data being dragged?,setData(),setDragData(),addData(),setItem(),20,1,,,,,,,,,,,,,,,,,,
110,How do you handle routing in a single-page application (SPA) built with a framework like Angular within an Electron renderer?,Using the framework's router (e.g. Angular Router) with HashLocationStrategy or configuring the Electron app to handle URL paths.,Electron automatically provides routing for SPAs.,By creating a new BrowserWindow for each route.,Routing is not supported in Electron SPAs.,20,1,,,,,,,,,,,,,,,,,,
111,What is the primary reason for Inter-Process Communication (IPC) in Electron?,To enable communication between the main process and renderer processes.,To allow web pages to communicate with each other directly.,To facilitate communication between Electron and external web servers.,To manage multi-threading within a single process.,20,1,,,,,,,,,,,,,,,,,,
112,Which module is used in the main process to listen for messages from renderer processes?,ipcMain,ipcRenderer,app.ipc,mainIpc,20,1,,,,,,,,,,,,,,,,,,
113,Which module is used in the renderer process to send messages to the main process?,ipcRenderer,ipcMain,app.ipc,rendererIpc,20,1,,,,,,,,,,,,,,,,,,
114,How does the main process send an asynchronous message to a specific renderer process?,By calling webContents.send() on the target window's webContents object.,By calling ipcMain.sendToRenderer() directly.,By emitting an event on the app module.,By using BrowserWindow.postMessage().,20,1,,,,,,,,,,,,,,,,,,
115,What ipcRenderer method is used for a one-way message from the renderer to the main process without expecting a response?,ipcRenderer.send(),ipcRenderer.request(),ipcRenderer.invoke(),ipcRenderer.call(),20,1,,,,,,,,,,,,,,,,,,
116,What ipcMain method is used to listen for asynchronous messages sent from a renderer process via ipcRenderer.send()?,ipcMain.on(),ipcMain.handle(),ipcMain.receive(),ipcMain.listen(),20,1,,,,,,,,,,,,,,,,,,
117,What is the key difference between ipcRenderer.send() and ipcRenderer.invoke()?,send() is one-way (fire and forget) invoke() is two-way (sends a message and awaits a response).,send() is synchronous invoke() is asynchronous.,send() is for main-to-renderer invoke() is for renderer-to-main.,send() can only send strings invoke() can send objects.,20,1,,,,,,,,,,,,,,,,,,
118,Which ipcMain method is used to handle messages sent from a renderer process via ipcRenderer.invoke() and send a response back?,ipcMain.handle(),ipcMain.on(),ipcMain.call(),ipcMain.respond(),20,1,,,,,,,,,,,,,,,,,,
119,What is contextBridge specifically designed for in the context of IPC?,To securely expose main process APIs or Node.js functionality to the renderer process when contextIsolation is enabled.,To bridge the gap between HTML and CSS.,To allow direct synchronous access to Node.js APIs from the renderer.,To facilitate communication between two different renderer processes.,20,1,,,,,,,,,,,,,,,,,,
120,When using ipcRenderer.invoke() and ipcMain.handle() what is the nature of the communication?,Asynchronous request-response.,Synchronous one-way.,Synchronous request-response.,Asynchronous one-way.,20,1,,,,,,,,,,,,,,,,,,
121,What data types can be sent over Electron's IPC channels?,Primitive values arrays objects and certain native objects that can be serialized by the Structured Clone Algorithm.,Only strings and numbers.,Only JSON-serializable objects.,Any JavaScript object including functions and DOM elements.,20,1,,,,,,,,,,,,,,,,,,
122,What is a potential pitfall of using ipcRenderer.sendSync()?,It blocks the renderer process until the main process responds leading to a frozen UI.,It can only send primitive data types.,It is less secure than ipcRenderer.send().,It requires complex error handling mechanisms.,20,1,,,,,,,,,,,,,,,,,,
123,How can you handle errors that occur during ipcRenderer.invoke() calls?,By wrapping the invoke call in a try...catch block and handling rejected Promises.,Errors are automatically logged to the main process console.,You cannot catch errors from invoke calls.,By using ipcRenderer.onError() event listener.,20,1,,,,,,,,,,,,,,,,,,
124,What is a best practice for structuring IPC listeners in the main process?,Centralize listeners avoid creating new listeners for every BrowserWindow and clean up on window close.,Create a separate ipcMain.on listener for each renderer process.,Only use synchronous IPC to simplify error handling.,Place all IPC logic directly inside the BrowserWindow constructor.,20,1,,,,,,,,,,,,,,,,,,
125,If a preload script exposes an API myApi using contextBridge.exposeInMainWorld('myApi' { ... }) how would the renderer access it?,window.myApi,myApi (globally),electron.myApi,ipcRenderer.myApi,20,1,,,,,,,,,,,,,,,,,,
126,When an ipcMain.on() listener receives a message what is the first argument typically provided to the callback function?,The IpcMainEvent object.,The message payload.,The sender's BrowserWindow instance.,The channel name.,20,1,,,,,,,,,,,,,,,,,,
127,What does event.sender in an ipcMain.on() callback refer to?,The WebContents object of the renderer process that sent the message.,The BrowserWindow object that sent the message.,The app module instance.,The message payload itself.,20,1,,,,,,,,,,,,,,,,,,
128,How do you send a reply back to the renderer from an ipcMain.on() listener (for a one-way ipcRenderer.send() message)?,Using event.reply(channel ...args).,Using event.sender.send(channel ...args).,Using ipcMain.sendToRenderer(event.sender ...args).,It's not possible to reply to ipcRenderer.send() messages.,20,1,,,,,,,,,,,,,,,,,,
